,id,ल्युट्,ण्वुल्,तृच्,यत्,तव्य,अनीयर्,क्त,क्तवतु,शतृ,स्य-शतृ,शानच्,स्य-शानच्,भावकर्म-शानच्,स्य-भावकर्म-शानच्,क्त्वा,ल्यप्,तुमुन्,णमुल्,क्तिन्,अच्,क्वसु,चानश्,वुन्,श,आलुच्
0,01.0001,(भावन)---भावनम्,(भावक)-भावकः-भाविका-भावकम्,(भावयितृ)-भावयिता-भावयित्री-भावयितृ,(भाव्य)-भाव्यः-भाव्या-भाव्यम्,(भावयितव्य)-भावयितव्यः-भावयितव्या-भावयितव्यम्,(भावनीय)-भावनीयः-भावनीया-भावनीयम्,(भावित)-भावितः-भाविता-भावितम्,(भावितवत्)-भावितवान्-भावितवती-भावितवत्/भावितवद्,(भावयत्)-भावयन्-भावयन्ती-भावयत्/भावयद्,(भावयिष्यत्)-भावयिष्यन्-भावयिष्यती/भावयिष्यन्ती-भावयिष्यत्/भावयिष्यद्,(भावयमान)-भावयमानः-भावयमाना-भावयमानम्,(भावयिष्यमाण)-भावयिष्यमाणः-भावयिष्यमाणा-भावयिष्यमाणम्,(भाव्यमान)-भाव्यमानः-भाव्यमाना-भाव्यमानम्,[(भाविष्यमाण-भावयिष्यमाण)- (भाविष्यमाणः-भावयिष्यमाणः)- (भाविष्यमाणा-भावयिष्यमाणा)- (भाविष्यमाणम्-भावयिष्यमाणम्)],(भावयित्वा)---,(प्रभाव्य)---,(भावयितुम्)---,(भावम्)---,(भाति)--भातिः-,(भाव)-भावः-भावा-भावम्,[(भाविष्यमाण-भावयिष्यमाण-भावयाम्बभूवस्-भावयामासिवस्-भावयाञ्चकृवस्)- (भाविष्यमाणः-भावयिष्यमाणः-भावयाम्बभूवान्-भावयामासिवान्-भावयाञ्चकृवान्)- (भाविष्यमाणा-भावयिष्यमाणा-भावयाम्बभूषी-भावयामास्युषी-भावयाञ्चक्रुषी)- (भाविष्यमाणम्-भावयिष्यमाणम्-भावयाम्बभूवत्/भावयाम्बभूवद्-भावयामासिवत्/भावयामासिवद्-भावयाञ्चकृवत्/भावयाञ्चकृवद्)],(भावयमान)-भावयमानः-भावयमाना-भावयमानम्,(भावक)-भावकः-भाविका-भावकम्,,
1,01.0002,(एधन)---एधनम्,(एधक)-एधकः-एधिका-एधकम्,(एधयितृ)-एधयिता-एधयित्री-एधयितृ,(एध्य)-एध्यः-एध्या-एध्यम्,(एधयितव्य)-एधयितव्यः-एधयितव्या-एधयितव्यम्,(एधनीय)-एधनीयः-एधनीया-एधनीयम्,(एधित)-एधितः-एधिता-एधितम्,(एधितवत्)-एधितवान्-एधितवती-एधितवत्/एधितवद्,(एधयत्)-एधयन्-एधयन्ती-एधयत्/एधयद्,(एधयिष्यत्)-एधयिष्यन्-एधयिष्यती/एधयिष्यन्ती-एधयिष्यत्/एधयिष्यद्,(एधयमान)-एधयमानः-एधयमाना-एधयमानम्,(एधयिष्यमाण)-एधयिष्यमाणः-एधयिष्यमाणा-एधयिष्यमाणम्,(एध्यमान)-एध्यमानः-एध्यमाना-एध्यमानम्,[(एधिष्यमाण-एधयिष्यमाण)- (एधिष्यमाणः-एधयिष्यमाणः)- (एधिष्यमाणा-एधयिष्यमाणा)- (एधिष्यमाणम्-एधयिष्यमाणम्)],(एधयित्वा)---,(प्रैध्य)---,(एधयितुम्)---,(एधम्)---,(एद्धि)--एद्धिः-,(एध)-एधः-एधा-एधम्,[(एधिष्यमाण-एधयिष्यमाण-एधयाम्बभूवस्-एधयामासिवस्-एधयाञ्चकृवस्)- (एधिष्यमाणः-एधयिष्यमाणः-एधयाम्बभूवान्-एधयामासिवान्-एधयाञ्चकृवान्)- (एधिष्यमाणा-एधयिष्यमाणा-एधयाम्बभूषी-एधयामास्युषी-एधयाञ्चक्रुषी)- (एधिष्यमाणम्-एधयिष्यमाणम्-एधयाम्बभूवत्/एधयाम्बभूवद्-एधयामासिवत्/एधयामासिवद्-एधयाञ्चकृवत्/एधयाञ्चकृवद्)],(एधयमान)-एधयमानः-एधयमाना-एधयमानम्,(एधक)-एधकः-एधिका-एधकम्,,
2,01.0003,(स्पर्धन)---स्पर्धनम्,(स्पर्धक)-स्पर्धकः-स्पर्धिका-स्पर्धकम्,(स्पर्धयितृ)-स्पर्धयिता-स्पर्धयित्री-स्पर्धयितृ,(स्पर्ध्य)-स्पर्ध्यः-स्पर्ध्या-स्पर्ध्यम्,(स्पर्धयितव्य)-स्पर्धयितव्यः-स्पर्धयितव्या-स्पर्धयितव्यम्,(स्पर्धनीय)-स्पर्धनीयः-स्पर्धनीया-स्पर्धनीयम्,(स्पर्धित)-स्पर्धितः-स्पर्धिता-स्पर्धितम्,(स्पर्धितवत्)-स्पर्धितवान्-स्पर्धितवती-स्पर्धितवत्/स्पर्धितवद्,(स्पर्धयत्)-स्पर्धयन्-स्पर्धयन्ती-स्पर्धयत्/स्पर्धयद्,(स्पर्धयिष्यत्)-स्पर्धयिष्यन्-स्पर्धयिष्यती/स्पर्धयिष्यन्ती-स्पर्धयिष्यत्/स्पर्धयिष्यद्,(स्पर्धयमान)-स्पर्धयमानः-स्पर्धयमाना-स्पर्धयमानम्,(स्पर्धयिष्यमाण)-स्पर्धयिष्यमाणः-स्पर्धयिष्यमाणा-स्पर्धयिष्यमाणम्,(स्पर्ध्यमान)-स्पर्ध्यमानः-स्पर्ध्यमाना-स्पर्ध्यमानम्,[(स्पर्धिष्यमाण-स्पर्धयिष्यमाण)- (स्पर्धिष्यमाणः-स्पर्धयिष्यमाणः)- (स्पर्धिष्यमाणा-स्पर्धयिष्यमाणा)- (स्पर्धिष्यमाणम्-स्पर्धयिष्यमाणम्)],(स्पर्धयित्वा)---,(प्रस्पर्ध्य)---,(स्पर्धयितुम्)---,(स्पर्धम्)---,[(स्पर्धिष्यमाण-स्पर्धयिष्यमाण-स्पर्धि-स्पर्द्धि)- (स्पर्धिष्यमाणः-स्पर्धयिष्यमाणः--)- (स्पर्धिष्यमाणा-स्पर्धयिष्यमाणा-स्पर्धिः-स्पर्द्धिः)- (स्पर्धिष्यमाणम्-स्पर्धयिष्यमाणम्--)],(स्पर्ध)-स्पर्धः-स्पर्धा-स्पर्धम्,[(स्पर्धिष्यमाण-स्पर्धयिष्यमाण-स्पर्धि-स्पर्द्धि-स्पर्धयाम्बभूवस्-स्पर्धयामासिवस्-स्पर्धयाञ्चकृवस्)- (स्पर्धिष्यमाणः-स्पर्धयिष्यमाणः---स्पर्धयाम्बभूवान्-स्पर्धयामासिवान्-स्पर्धयाञ्चकृवान्)- (स्पर्धिष्यमाणा-स्पर्धयिष्यमाणा-स्पर्धिः-स्पर्द्धिः-स्पर्धयाम्बभूषी-स्पर्धयामास्युषी-स्पर्धयाञ्चक्रुषी)- (स्पर्धिष्यमाणम्-स्पर्धयिष्यमाणम्---स्पर्धयाम्बभूवत्/स्पर्धयाम्बभूवद्-स्पर्धयामासिवत्/स्पर्धयामासिवद्-स्पर्धयाञ्चकृवत्/स्पर्धयाञ्चकृवद्)],(स्पर्धयमान)-स्पर्धयमानः-स्पर्धयमाना-स्पर्धयमानम्,(स्पर्धक)-स्पर्धकः-स्पर्धिका-स्पर्धकम्,,
3,01.0004,(गाधन)---गाधनम्,(गाधक)-गाधकः-गाधिका-गाधकम्,(गाधयितृ)-गाधयिता-गाधयित्री-गाधयितृ,(गाध्य)-गाध्यः-गाध्या-गाध्यम्,(गाधयितव्य)-गाधयितव्यः-गाधयितव्या-गाधयितव्यम्,(गाधनीय)-गाधनीयः-गाधनीया-गाधनीयम्,(गाधित)-गाधितः-गाधिता-गाधितम्,(गाधितवत्)-गाधितवान्-गाधितवती-गाधितवत्/गाधितवद्,(गाधयत्)-गाधयन्-गाधयन्ती-गाधयत्/गाधयद्,(गाधयिष्यत्)-गाधयिष्यन्-गाधयिष्यती/गाधयिष्यन्ती-गाधयिष्यत्/गाधयिष्यद्,(गाधयमान)-गाधयमानः-गाधयमाना-गाधयमानम्,(गाधयिष्यमाण)-गाधयिष्यमाणः-गाधयिष्यमाणा-गाधयिष्यमाणम्,(गाध्यमान)-गाध्यमानः-गाध्यमाना-गाध्यमानम्,[(गाधिष्यमाण-गाधयिष्यमाण)- (गाधिष्यमाणः-गाधयिष्यमाणः)- (गाधिष्यमाणा-गाधयिष्यमाणा)- (गाधिष्यमाणम्-गाधयिष्यमाणम्)],(गाधयित्वा)---,(प्रगाध्य)---,(गाधयितुम्)---,(गाधम्)---,(गाद्धि)--गाद्धिः-,(गाध)-गाधः-गाधा-गाधम्,[(गाधिष्यमाण-गाधयिष्यमाण-गाधयाम्बभूवस्-गाधयामासिवस्-गाधयाञ्चकृवस्)- (गाधिष्यमाणः-गाधयिष्यमाणः-गाधयाम्बभूवान्-गाधयामासिवान्-गाधयाञ्चकृवान्)- (गाधिष्यमाणा-गाधयिष्यमाणा-गाधयाम्बभूषी-गाधयामास्युषी-गाधयाञ्चक्रुषी)- (गाधिष्यमाणम्-गाधयिष्यमाणम्-गाधयाम्बभूवत्/गाधयाम्बभूवद्-गाधयामासिवत्/गाधयामासिवद्-गाधयाञ्चकृवत्/गाधयाञ्चकृवद्)],(गाधयमान)-गाधयमानः-गाधयमाना-गाधयमानम्,(गाधक)-गाधकः-गाधिका-गाधकम्,,
4,01.0005,(बाधन)---बाधनम्,(बाधक)-बाधकः-बाधिका-बाधकम्,(बाधयितृ)-बाधयिता-बाधयित्री-बाधयितृ,(बाध्य)-बाध्यः-बाध्या-बाध्यम्,(बाधयितव्य)-बाधयितव्यः-बाधयितव्या-बाधयितव्यम्,(बाधनीय)-बाधनीयः-बाधनीया-बाधनीयम्,(बाधित)-बाधितः-बाधिता-बाधितम्,(बाधितवत्)-बाधितवान्-बाधितवती-बाधितवत्/बाधितवद्,(बाधयत्)-बाधयन्-बाधयन्ती-बाधयत्/बाधयद्,(बाधयिष्यत्)-बाधयिष्यन्-बाधयिष्यती/बाधयिष्यन्ती-बाधयिष्यत्/बाधयिष्यद्,(बाधयमान)-बाधयमानः-बाधयमाना-बाधयमानम्,(बाधयिष्यमाण)-बाधयिष्यमाणः-बाधयिष्यमाणा-बाधयिष्यमाणम्,(बाध्यमान)-बाध्यमानः-बाध्यमाना-बाध्यमानम्,[(बाधिष्यमाण-बाधयिष्यमाण)- (बाधिष्यमाणः-बाधयिष्यमाणः)- (बाधिष्यमाणा-बाधयिष्यमाणा)- (बाधिष्यमाणम्-बाधयिष्यमाणम्)],(बाधयित्वा)---,(प्रबाध्य)---,(बाधयितुम्)---,(बाधम्)---,(बाद्धि)--बाद्धिः-,(बाध)-बाधः-बाधा-बाधम्,[(बाधिष्यमाण-बाधयिष्यमाण-बाधयाम्बभूवस्-बाधयामासिवस्-बाधयाञ्चकृवस्)- (बाधिष्यमाणः-बाधयिष्यमाणः-बाधयाम्बभूवान्-बाधयामासिवान्-बाधयाञ्चकृवान्)- (बाधिष्यमाणा-बाधयिष्यमाणा-बाधयाम्बभूषी-बाधयामास्युषी-बाधयाञ्चक्रुषी)- (बाधिष्यमाणम्-बाधयिष्यमाणम्-बाधयाम्बभूवत्/बाधयाम्बभूवद्-बाधयामासिवत्/बाधयामासिवद्-बाधयाञ्चकृवत्/बाधयाञ्चकृवद्)],(बाधयमान)-बाधयमानः-बाधयमाना-बाधयमानम्,(बाधक)-बाधकः-बाधिका-बाधकम्,,
5,01.0006,(नाधन)---नाधनम्,(नाधक)-नाधकः-नाधिका-नाधकम्,(नाधयितृ)-नाधयिता-नाधयित्री-नाधयितृ,(नाध्य)-नाध्यः-नाध्या-नाध्यम्,(नाधयितव्य)-नाधयितव्यः-नाधयितव्या-नाधयितव्यम्,(नाधनीय)-नाधनीयः-नाधनीया-नाधनीयम्,(नाधित)-नाधितः-नाधिता-नाधितम्,(नाधितवत्)-नाधितवान्-नाधितवती-नाधितवत्/नाधितवद्,(नाधयत्)-नाधयन्-नाधयन्ती-नाधयत्/नाधयद्,(नाधयिष्यत्)-नाधयिष्यन्-नाधयिष्यती/नाधयिष्यन्ती-नाधयिष्यत्/नाधयिष्यद्,(नाधयमान)-नाधयमानः-नाधयमाना-नाधयमानम्,(नाधयिष्यमाण)-नाधयिष्यमाणः-नाधयिष्यमाणा-नाधयिष्यमाणम्,(नाध्यमान)-नाध्यमानः-नाध्यमाना-नाध्यमानम्,[(नाधिष्यमाण-नाधयिष्यमाण)- (नाधिष्यमाणः-नाधयिष्यमाणः)- (नाधिष्यमाणा-नाधयिष्यमाणा)- (नाधिष्यमाणम्-नाधयिष्यमाणम्)],(नाधयित्वा)---,(प्रनाध्य)---,(नाधयितुम्)---,(नाधम्)---,(नाद्धि)--नाद्धिः-,(नाध)-नाधः-नाधा-नाधम्,[(नाधिष्यमाण-नाधयिष्यमाण-नाधयाम्बभूवस्-नाधयामासिवस्-नाधयाञ्चकृवस्)- (नाधिष्यमाणः-नाधयिष्यमाणः-नाधयाम्बभूवान्-नाधयामासिवान्-नाधयाञ्चकृवान्)- (नाधिष्यमाणा-नाधयिष्यमाणा-नाधयाम्बभूषी-नाधयामास्युषी-नाधयाञ्चक्रुषी)- (नाधिष्यमाणम्-नाधयिष्यमाणम्-नाधयाम्बभूवत्/नाधयाम्बभूवद्-नाधयामासिवत्/नाधयामासिवद्-नाधयाञ्चकृवत्/नाधयाञ्चकृवद्)],(नाधयमान)-नाधयमानः-नाधयमाना-नाधयमानम्,(नाधक)-नाधकः-नाधिका-नाधकम्,,
6,01.0007,(नाथन)---नाथनम्,(नाथक)-नाथकः-नाथिका-नाथकम्,(नाथयितृ)-नाथयिता-नाथयित्री-नाथयितृ,(नाथ्य)-नाथ्यः-नाथ्या-नाथ्यम्,(नाथयितव्य)-नाथयितव्यः-नाथयितव्या-नाथयितव्यम्,(नाथनीय)-नाथनीयः-नाथनीया-नाथनीयम्,(नाथित)-नाथितः-नाथिता-नाथितम्,(नाथितवत्)-नाथितवान्-नाथितवती-नाथितवत्/नाथितवद्,(नाथयत्)-नाथयन्-नाथयन्ती-नाथयत्/नाथयद्,(नाथयिष्यत्)-नाथयिष्यन्-नाथयिष्यती/नाथयिष्यन्ती-नाथयिष्यत्/नाथयिष्यद्,(नाथयमान)-नाथयमानः-नाथयमाना-नाथयमानम्,(नाथयिष्यमाण)-नाथयिष्यमाणः-नाथयिष्यमाणा-नाथयिष्यमाणम्,(नाथ्यमान)-नाथ्यमानः-नाथ्यमाना-नाथ्यमानम्,[(नाथिष्यमाण-नाथयिष्यमाण)- (नाथिष्यमाणः-नाथयिष्यमाणः)- (नाथिष्यमाणा-नाथयिष्यमाणा)- (नाथिष्यमाणम्-नाथयिष्यमाणम्)],(नाथयित्वा)---,(प्रनाथ्य)---,(नाथयितुम्)---,(नाथम्)---,(नात्ति)--नात्तिः-,(नाथ)-नाथः-नाथा-नाथम्,[(नाथिष्यमाण-नाथयिष्यमाण-नाथयाम्बभूवस्-नाथयामासिवस्-नाथयाञ्चकृवस्)- (नाथिष्यमाणः-नाथयिष्यमाणः-नाथयाम्बभूवान्-नाथयामासिवान्-नाथयाञ्चकृवान्)- (नाथिष्यमाणा-नाथयिष्यमाणा-नाथयाम्बभूषी-नाथयामास्युषी-नाथयाञ्चक्रुषी)- (नाथिष्यमाणम्-नाथयिष्यमाणम्-नाथयाम्बभूवत्/नाथयाम्बभूवद्-नाथयामासिवत्/नाथयामासिवद्-नाथयाञ्चकृवत्/नाथयाञ्चकृवद्)],(नाथयमान)-नाथयमानः-नाथयमाना-नाथयमानम्,(नाथक)-नाथकः-नाथिका-नाथकम्,,
7,01.0008,(दाधन)---दाधनम्,(दाधक)-दाधकः-दाधिका-दाधकम्,(दाधयितृ)-दाधयिता-दाधयित्री-दाधयितृ,(दाध्य)-दाध्यः-दाध्या-दाध्यम्,(दाधयितव्य)-दाधयितव्यः-दाधयितव्या-दाधयितव्यम्,(दाधनीय)-दाधनीयः-दाधनीया-दाधनीयम्,(दाधित)-दाधितः-दाधिता-दाधितम्,(दाधितवत्)-दाधितवान्-दाधितवती-दाधितवत्/दाधितवद्,(दाधयत्)-दाधयन्-दाधयन्ती-दाधयत्/दाधयद्,(दाधयिष्यत्)-दाधयिष्यन्-दाधयिष्यती/दाधयिष्यन्ती-दाधयिष्यत्/दाधयिष्यद्,(दाधयमान)-दाधयमानः-दाधयमाना-दाधयमानम्,(दाधयिष्यमाण)-दाधयिष्यमाणः-दाधयिष्यमाणा-दाधयिष्यमाणम्,(दाध्यमान)-दाध्यमानः-दाध्यमाना-दाध्यमानम्,[(दाधिष्यमाण-दाधयिष्यमाण)- (दाधिष्यमाणः-दाधयिष्यमाणः)- (दाधिष्यमाणा-दाधयिष्यमाणा)- (दाधिष्यमाणम्-दाधयिष्यमाणम्)],(दाधयित्वा)---,(प्रदाध्य)---,(दाधयितुम्)---,(दाधम्)---,(दाद्धि)--दाद्धिः-,(दाध)-दाधः-दाधा-दाधम्,[(दाधिष्यमाण-दाधयिष्यमाण-दाधयाम्बभूवस्-दाधयामासिवस्-दाधयाञ्चकृवस्)- (दाधिष्यमाणः-दाधयिष्यमाणः-दाधयाम्बभूवान्-दाधयामासिवान्-दाधयाञ्चकृवान्)- (दाधिष्यमाणा-दाधयिष्यमाणा-दाधयाम्बभूषी-दाधयामास्युषी-दाधयाञ्चक्रुषी)- (दाधिष्यमाणम्-दाधयिष्यमाणम्-दाधयाम्बभूवत्/दाधयाम्बभूवद्-दाधयामासिवत्/दाधयामासिवद्-दाधयाञ्चकृवत्/दाधयाञ्चकृवद्)],(दाधयमान)-दाधयमानः-दाधयमाना-दाधयमानम्,(दाधक)-दाधकः-दाधिका-दाधकम्,,
8,01.0009,(स्कुन्दन)---स्कुन्दनम्,(स्कुन्दक)-स्कुन्दकः-स्कुन्दिका-स्कुन्दकम्,(स्कुन्दयितृ)-स्कुन्दयिता-स्कुन्दयित्री-स्कुन्दयितृ,(स्कुन्द्य)-स्कुन्द्यः-स्कुन्द्या-स्कुन्द्यम्,(स्कुन्दयितव्य)-स्कुन्दयितव्यः-स्कुन्दयितव्या-स्कुन्दयितव्यम्,(स्कुन्दनीय)-स्कुन्दनीयः-स्कुन्दनीया-स्कुन्दनीयम्,(स्कुन्दित)-स्कुन्दितः-स्कुन्दिता-स्कुन्दितम्,(स्कुन्दितवत्)-स्कुन्दितवान्-स्कुन्दितवती-स्कुन्दितवत्/स्कुन्दितवद्,(स्कुन्दयत्)-स्कुन्दयन्-स्कुन्दयन्ती-स्कुन्दयत्/स्कुन्दयद्,(स्कुन्दयिष्यत्)-स्कुन्दयिष्यन्-स्कुन्दयिष्यती/स्कुन्दयिष्यन्ती-स्कुन्दयिष्यत्/स्कुन्दयिष्यद्,(स्कुन्दयमान)-स्कुन्दयमानः-स्कुन्दयमाना-स्कुन्दयमानम्,(स्कुन्दयिष्यमाण)-स्कुन्दयिष्यमाणः-स्कुन्दयिष्यमाणा-स्कुन्दयिष्यमाणम्,(स्कुन्द्यमान)-स्कुन्द्यमानः-स्कुन्द्यमाना-स्कुन्द्यमानम्,[(स्कुन्दिष्यमाण-स्कुन्दयिष्यमाण)- (स्कुन्दिष्यमाणः-स्कुन्दयिष्यमाणः)- (स्कुन्दिष्यमाणा-स्कुन्दयिष्यमाणा)- (स्कुन्दिष्यमाणम्-स्कुन्दयिष्यमाणम्)],(स्कुन्दयित्वा)---,(प्रस्कुन्द्य)---,(स्कुन्दयितुम्)---,(स्कुन्दम्)---,[(स्कुन्दिष्यमाण-स्कुन्दयिष्यमाण-स्कुन्ति-स्कुन्त्ति)- (स्कुन्दिष्यमाणः-स्कुन्दयिष्यमाणः--)- (स्कुन्दिष्यमाणा-स्कुन्दयिष्यमाणा-स्कुन्तिः-स्कुन्त्तिः)- (स्कुन्दिष्यमाणम्-स्कुन्दयिष्यमाणम्--)],(स्कुन्द)-स्कुन्दः-स्कुन्दा-स्कुन्दम्,[(स्कुन्दिष्यमाण-स्कुन्दयिष्यमाण-स्कुन्ति-स्कुन्त्ति-स्कुन्दयाम्बभूवस्-स्कुन्दयामासिवस्-स्कुन्दयाञ्चकृवस्)- (स्कुन्दिष्यमाणः-स्कुन्दयिष्यमाणः---स्कुन्दयाम्बभूवान्-स्कुन्दयामासिवान्-स्कुन्दयाञ्चकृवान्)- (स्कुन्दिष्यमाणा-स्कुन्दयिष्यमाणा-स्कुन्तिः-स्कुन्त्तिः-स्कुन्दयाम्बभूषी-स्कुन्दयामास्युषी-स्कुन्दयाञ्चक्रुषी)- (स्कुन्दिष्यमाणम्-स्कुन्दयिष्यमाणम्---स्कुन्दयाम्बभूवत्/स्कुन्दयाम्बभूवद्-स्कुन्दयामासिवत्/स्कुन्दयामासिवद्-स्कुन्दयाञ्चकृवत्/स्कुन्दयाञ्चकृवद्)],(स्कुन्दयमान)-स्कुन्दयमानः-स्कुन्दयमाना-स्कुन्दयमानम्,(स्कुन्दक)-स्कुन्दकः-स्कुन्दिका-स्कुन्दकम्,,
9,01.0010,(श्विन्दन)---श्विन्दनम्,(श्विन्दक)-श्विन्दकः-श्विन्दिका-श्विन्दकम्,(श्विन्दयितृ)-श्विन्दयिता-श्विन्दयित्री-श्विन्दयितृ,(श्विन्द्य)-श्विन्द्यः-श्विन्द्या-श्विन्द्यम्,(श्विन्दयितव्य)-श्विन्दयितव्यः-श्विन्दयितव्या-श्विन्दयितव्यम्,(श्विन्दनीय)-श्विन्दनीयः-श्विन्दनीया-श्विन्दनीयम्,(श्विन्दित)-श्विन्दितः-श्विन्दिता-श्विन्दितम्,(श्विन्दितवत्)-श्विन्दितवान्-श्विन्दितवती-श्विन्दितवत्/श्विन्दितवद्,(श्विन्दयत्)-श्विन्दयन्-श्विन्दयन्ती-श्विन्दयत्/श्विन्दयद्,(श्विन्दयिष्यत्)-श्विन्दयिष्यन्-श्विन्दयिष्यती/श्विन्दयिष्यन्ती-श्विन्दयिष्यत्/श्विन्दयिष्यद्,(श्विन्दयमान)-श्विन्दयमानः-श्विन्दयमाना-श्विन्दयमानम्,(श्विन्दयिष्यमाण)-श्विन्दयिष्यमाणः-श्विन्दयिष्यमाणा-श्विन्दयिष्यमाणम्,(श्विन्द्यमान)-श्विन्द्यमानः-श्विन्द्यमाना-श्विन्द्यमानम्,[(श्विन्दिष्यमाण-श्विन्दयिष्यमाण)- (श्विन्दिष्यमाणः-श्विन्दयिष्यमाणः)- (श्विन्दिष्यमाणा-श्विन्दयिष्यमाणा)- (श्विन्दिष्यमाणम्-श्विन्दयिष्यमाणम्)],(श्विन्दयित्वा)---,(प्रश्विन्द्य)---,(श्विन्दयितुम्)---,(श्विन्दम्)---,[(श्विन्दिष्यमाण-श्विन्दयिष्यमाण-श्विन्ति-श्विन्त्ति)- (श्विन्दिष्यमाणः-श्विन्दयिष्यमाणः--)- (श्विन्दिष्यमाणा-श्विन्दयिष्यमाणा-श्विन्तिः-श्विन्त्तिः)- (श्विन्दिष्यमाणम्-श्विन्दयिष्यमाणम्--)],(श्विन्द)-श्विन्दः-श्विन्दा-श्विन्दम्,[(श्विन्दिष्यमाण-श्विन्दयिष्यमाण-श्विन्ति-श्विन्त्ति-श्विन्दयाम्बभूवस्-श्विन्दयामासिवस्-श्विन्दयाञ्चकृवस्)- (श्विन्दिष्यमाणः-श्विन्दयिष्यमाणः---श्विन्दयाम्बभूवान्-श्विन्दयामासिवान्-श्विन्दयाञ्चकृवान्)- (श्विन्दिष्यमाणा-श्विन्दयिष्यमाणा-श्विन्तिः-श्विन्त्तिः-श्विन्दयाम्बभूषी-श्विन्दयामास्युषी-श्विन्दयाञ्चक्रुषी)- (श्विन्दिष्यमाणम्-श्विन्दयिष्यमाणम्---श्विन्दयाम्बभूवत्/श्विन्दयाम्बभूवद्-श्विन्दयामासिवत्/श्विन्दयामासिवद्-श्विन्दयाञ्चकृवत्/श्विन्दयाञ्चकृवद्)],(श्विन्दयमान)-श्विन्दयमानः-श्विन्दयमाना-श्विन्दयमानम्,(श्विन्दक)-श्विन्दकः-श्विन्दिका-श्विन्दकम्,,
